"","name","author","create_time","introduction","play_count","collect_count","share_count","comment_count","topics","fans","grade","playlists","length_name","english_name","name_language","name_style","name_scene","name_instruments","name_feeling","name_praise","name_location","name_古风","name_BGM","name_经典","name_爵士","name_世界","name_精选","name_节奏","name_女声","name_欧美","name_粤语","name_民谣","name_东方","name_amp","name_中国","name_那些","length_intro","intro_歌单","intro_音乐","intro_歌曲","intro_喜欢","intro_封面","intro_专辑","intro_歌手","intro_风格","intro_quot","intro_amp","intro_更新","intro_旋律","intro_收录","intro_节奏","intro_好听","intro_电音","欧美","流行","华语","电子","ACG","日语","古风","轻音乐","经典","器乐","治愈","兴奋","游戏","独立","另类","影视原声","民族","怀旧","粤语","摇滚","number_songs","number_hot_singers","talent","verification","musician","无","达人","认证","音乐人","cluster"
"69","『東方雅乐｜和风意境純音赏』","魔理沙的扫帚视角",1497312000,"<b>介绍：</b>封面：<br>日本弹幕游戏《東方Project》Windows 平台第二作 《東方妖々夢》五面BOSS及六面道中BOSS 魂魄妖梦<br><br>此歌单旨在以旋律、调感、意境、音质四个维度为鉴赏标准“高准入”收录最优秀的东方Project同人和风意境纯音乐。<br><br>东方的意境纯音曲堪称意境界的一朵奇之葩，堪称纯音界的一股泥石流。<br><br>东方因其创作者让无数作曲人望尘莫及意欲含羞自尽的酒后脑洞以及游戏同人强大的二次创作包容性而让东方曲目的曲调千变万化、曲风应有尽有，可以说是一场绝不会后悔的听觉盛宴。<br><br>曲子的意境在于旋律的起伏、在于物哀的勾勒、在于画面的渲染，在于无论是欲露还羞的敛容还是拂袖起舞的放肆都铺展得恰到好处，或让人梗塞难语，或让人拍案称快。<br><br>欢迎来到幻想乡，愿你意犹未尽，愿你流连忘返。<br>",562000,18452,114,125,"[""轻音乐"",""游戏"",""ACG""]",8869,8,33,14,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",386,"是","是","否","否","是","否","否","否","否","否","否","是","是","否","否","否","否","否","否","否","是","否","否","是","否","否","否","否","是","否","否","否","否","否","否","否",39,0,"是","否","否","否","是","否","否",3
"70","『钢琴』与流行歌曲的完美邂逅","墨_子柔",1383436800,"<b>介绍：</b>选集是华语流行音乐的钢琴版，或许你会更喜欢钢琴演奏的故事<br>",439449,11744,220,108,"[""流行"",""安静"",""钢琴""]",10949,7,40,14,"否","否","是","否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",42,"否","是","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",35,1,"是","否","否","否","是","否","否",3
"71","『歌名』是最凄美的情话","一叶清风丶",1489968000,"<b>介绍：</b>每首歌都有它自己的故事，只有听过的人才会懂。<br><br>很多时候，爱上一首歌，当你看到歌名，就已经注定了。<br><br>#*******************************************#<br><br>1. “我孤枕难眠。”<br><br>2. “替别人活着。”<br><br>3. “我过得并不好， 不错过任何挑逗，也不为任何人停留。”<br><br>4. “你不喜欢又何必这般。”<br><br>5. “明明是你先招惹我的，最后却是我放不下。”<br><br>6. “不是没你不行，而是有你更好。”<br><br>7. “你有人爱着真好，不像我。”<br><br>8. “活着本身可能就是件无耻的事情。”<br><br>9. “我认为你一直以来都没有真正的了解我。”<br><br>10. “想你好痛苦，反正我再也不想喜欢你了。”<br><br>11. “心里就一点波澜没有么？ 嗯，没有。”<br><br>12. “你懂的越多，懂你的越少。”<br><br>13. “我很好，我想该睡觉了，熬夜不好，想你也不好。”<br><br>14. “你爱他吗？” “我爱的是你。”<br><br>15 “我离开了我的岛屿，游向你。”<br><br>16. “如果我放任自己，会不会更容易忘记。”<br><br>17. “十年前你大我四岁，如今我大你四岁。”<br><br>18. “要是我们不曾相遇就好了。”<br><br>19. “怪微风太温柔，像老朋友又像旧时候。”<br><br>20. “看见你我很难受就和昨天一样。”<br><br>21. “再见了，我无缘的爱人。”<br><br>22. “你明知我无法拒绝你。”<br><br>23. “昨天的梦好长，在你的城市不断逃亡。”<br><br>24. “她说她不再需要我了，但是我们的猫仍然彼此相爱。”<br><br>#*******************************************#<br><br>——摘自评论，对歌名的诠释没有最好，只有最美。<br><br>——愿每个听歌的人儿不再孤单。<br><br>——封面出自INS：@Ben Lamberty<br>",2024821,35253,369,468,"[""另类/独立"",""孤独"",""欧美""]",4231,8,71,11,"否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",945,"否","否","否","是","是","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","是","是","否","否","否","否","否",24,0,"是","否","否","否","是","否","否",3
"72","『古风』三重九殿谁为友 皓月清风作契交","漓辞",1478304000,"<b>介绍：</b>此去前尘，故人离远，青史莫叹，山河勿念<br><br>铁与血，爱与仇，是非千古事，得失两心知<br><br>谁的眉眼念了谁的笑靥如花 <br><br>谁的容颜乱了谁的家国天下<br><br>谁允了谁江河万里山川如画<br><br>谁弃了谁陌路红尘一丈天涯<br><br>再相逢已是陌路，桃花落尽，执手生死，不过一场盛世寂寞……<br><br>封面图画师：伊吹五月<br>",1680169,43404,416,267,"[""古风"",""华语"",""民族""]",24982,8,23,19,"否","否","是","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",195,"否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","是","否","否","否",45,1,"是","否","否","否","是","否","否",3
"73","『古风』山有木兮卿有意 昨夜星辰恰似你","漓辞",1480550400,"<b>介绍：</b>愿此间 山有木兮卿有意 昨夜星辰恰似你<br><br>身无双翼 却心有一点灵犀<br><br>愿世间 春秋与天地 眼中唯有一个你<br><br>苦乐悲喜 得失尽致淋漓<br><br>——愿你我在此间情投意合，昨夜的星辰很美，恰似你光芒璀璨，有情的人儿虽无双翼，却心有灵犀一点通，所以我希望，这世间的春秋天地，人海茫茫，相爱的人眼中都唯有彼此，无论苦乐悲喜，得失与愿，都尽致淋漓，不留遗憾。<br><br>古代有一句话是“山有木兮木有枝，心悦君兮君不知 ”，意思是“山上有树木，而树上有枝，我心中爱慕着你啊，你却不知”。这样的暗恋太苦，我希望这世间的春秋天地，人海茫茫，相爱的人眼中都唯有彼此，不弃亦不离，直到归去，一世长安。<br><br>封面图画师：伊吹五月<br>",2669126,62995,633,428,"[""古风"",""华语"",""感动""]",24982,8,23,19,"否","否","是","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",344,"否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否",40,0,"是","否","否","否","是","否","否",3
"74","『古风』夜雨江湖一点泪 黯然琴瑟十年灯","漓辞",1488758400,"<b>介绍：</b>只身天涯旅，山河斜相倚<br><br>十年江湖期，一路红尘载酒行<br><br>我去赴一场无关风月的局<br><br>看花开花落，数春秋朝夕<br><br>不知故人去，空余砚上迹<br><br>十年江湖期，一路红尘载酒行<br><br>说道是一场无关风月的局<br><br>锦瑟年华，一曲拔断弦。惜流年，可曾相约天涯路踏遍。<br><br>封面图画师：伊吹五月<br>",1360627,26015,210,123,"[""古风"",""华语"",""夜晚""]",24982,8,23,19,"否","否","是","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",194,"否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否",40,1,"是","否","否","否","是","否","否",3
"75","『古风剧情』若有来生，不让思无边、念无涯","浮生醉卧丶",1439769600,"<b>介绍：</b>一直以来，冥冥之中，总感觉会有一个人在未知的地方等着我的到来，与你相遇、相识、相知、拥抱，这就是缘份？是上天的垂青？上天的恩赐？直至现在恍然梦中，双手合十，祈祷这样的梦不要醒来。<br>",630099,37320,237,219,"[""华语"",""古风"",""游戏""]",1082,9,46,20,"否","否","是","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",103,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","是","否","否","否","否","否","否","否",56,0,"否","否","否","是","否","否","否",3
"76","『古风男声对唱』寄君一曲 不问曲终人聚散","漓辞",1465776000,"<b>介绍：</b>弹剑高歌过荆州，空抛红豆意悠悠。<br>高山流水人何在，侠骨柔情总惹愁。<br>独守寒窗月漫漫，静思春夜雨蒙蒙。<br>我自流连随风笑，凡人痴梦各不同。<br>凤栖苍梧,焉知不是养精蓄锐?<br>他日当一鸣惊人，翔舞九天!<br>------------------------------------------<br>天下风云出我辈,一入江湖岁月催<br>皇图霸业谈笑间,不胜人生一场醉<br>得即高歌失即休 多愁多恨亦悠悠<br>今朝有酒今朝醉 明日愁来明日愁<br>直道相思了无益 未妨惆怅是清狂<br>你看那天地日月，恒静无言<br>青山长河，世代绵延<br>就像在我心中，你从未离去，也从未改变。<br><br>——封面 古剑奇谭2 沈夜＆谢衣<br><br>曲目更新《落霞云归》演唱：小魂＆特曼<br>",944389,34760,273,288,"[""古风"",""华语"",""夜晚""]",24982,8,23,20,"否","否","是","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",368,"否","否","否","否","是","否","否","否","否","否","是","否","否","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否",46,0,"是","否","否","否","是","否","否",3
"77","『古风男声控』沉醉在你的温柔嗓音","漓辞",1467417600,"<b>介绍：</b>纤云弄巧，飞星传恨，银汉迢迢暗度。<br>金风玉露一相逢，便胜却人间无数。<br>柔情似水，佳期如梦，忍顾鹊桥归路。<br>两情若是久长时，又岂在朝朝暮暮。<br>何必多情，何必痴情。花若多情，早已凋零。<br><br>人若多情，憔悴，憔悴……<br>人在天涯，何妨憔悴。酒入金樽，何妨沉醉。<br>醉眼看别人成双作对，<br>也胜过无人处暗弹相思泪。<br><br>封面：古剑奇谭＂师尊 ＂BY伊吹五月<br>",1456329,50367,374,400,"[""古风"",""华语"",""夜晚""]",24982,8,23,16,"否","否","是","否","否","是","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",216,"否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否",42,1,"是","否","否","否","是","否","否",3
"78","『古风女声对唱』琴音若再续 一曲共天明","漓辞",1466812800,"<b>介绍：</b>倾尽一生，只为一场绚烂的花开，守候一世，只为等待那个年深月久的你，挥毫泼墨，只想把所有的思念都写进信笺，望你有一天能够明白，亦不负我的相思意。《风花雪月》《眉如远山》百合感满满有没有！<br><br>封面：仙剑＂草谷水仙＂画师新浪微博 wxh虎<br>",504350,18469,112,86,"[""古风"",""华语"",""夜晚""]",24982,8,23,19,"否","否","是","否","是","否","否","否","是","否","否","否","否","否","否","是","否","否","否","否","否","否","否",136,"否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否",39,0,"是","否","否","否","是","否","否",3
"79","『和风纯音』末代武士，絶体絶命","伊吹萃香",1476144000,"<b>介绍：</b>武士道，或者武士道精神，是日本封建社会中武士阶层的道德规范以及哲学。如同欧洲中世纪出现的骑士精神，武士道是基于一些美德如：名，忠，勇，义，礼，诚，克。武士道在刚出现的时候，它的本意还是出于善良的，只是到了后来才被统治者用到了歧路上去了，在日本走上军国主义的道路之后，武士道精神发生了畸变，成为了帝国主义侵略扩张的工具，此时此刻的武士道精神已然是名存实亡了。<br>歌单中“絶体絶命”一词来源于日语，意为穷途末路，本次歌单即选用了一些跌宕起伏的和风纯音乐，用于表现武士从辉煌逐渐过渡到没落的过程，那么，接下来就请好好感受一下吧。<br>",745263,27421,188,325,"[""轻音乐"",""ACG"",""民族""]",8648,8,24,15,"否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",277,"是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","是","否","否","否","否","否","否","否","否","是","否","否","否",40,0,"是","否","否","否","是","否","否",3
"80","『和风夏祭』载歌载舞 盂兰盆会 狐の面","花碳快跟我百合",1462233600,"<b>介绍：</b>金鱼花火 祭り囃子 苹果飴<br>载歌载舞 盂兰盆会 狐の面<br>～～～～～～～～～～～～<br>本单的内容就是有关盂兰盆舞的一些曲目。<br>主要演奏乐器为太鼓、笛子、三味线、尺八等乐器。<br><br>共78首。持续更新。<br>(前42首为纯音乐)<br><br>科普一下日本人过的盂兰盆节：<br>盂兰盆节是华夏的节日，日本盂兰盆节只不过是孑遗而已。<br>盂兰盆节在飞鸟时代传入日本，已成为日本仅次于元旦的盛大节日。<br>盂兰盆节在日本又称&quot;魂祭&quot;、&quot;灯笼节&quot;、&quot;佛教万灵会&quot;等，原是追祭祖先、祈祷冥福的日子，现已是家庭团圆、合村欢乐的节日。<br>每到盂兰盆节时，日本各企业均放假7-15天，人们赶回故乡团聚。节日期间家家都设魂龛、点燃迎魂火和送魂火，祭奠祖先。一般在阳历的8月13日前后迎接祖先的灵魂，和活人一起生活4天，16日以送魂火的方式把祖先的灵魂送回阴间。京都的“大文字烧”就是这个活动的顶峰。<br>另一种欢送的形式是盂兰盆舞，夏夜，在太鼓声中，男女老少穿着浴衣起舞，已成为日本著名的观光活动。<br>",371815,17613,184,170,"[""日语"",""ACG"",""轻音乐""]",29741,9,34,19,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",505,"否","是","否","否","否","否","否","否","是","否","是","否","否","否","否","否","否","否","否","否","是","是","否","是","否","否","否","否","否","否","否","否","否","否","否","否",78,0,"是","否","否","否","是","否","否",3
"81","『华语』KTV最佳对唱“CP”称号就靠它了","-蓝与灰",1450828800,"<b>介绍：</b>精选100多首，非常适合K歌的男女对唱曲目，一部分是KTV对唱榜单的“常客”，一部分是很少有人K过的歌曲，但是绝对都超适合男女对唱哦，找个心仪的人，一起合唱这些歌，一定可以荣获最佳“CP”荣耀称号哒。<br><br>封面：橙汁CP：宋智孝&amp;陈柏霖<br><br>（是胡不是霍，是霍躲不过，躲得过胡霍，躲不过宋仲基，躲过了宋仲基，又躲不过橙汁CP，整个荧屏都在虐狗，让我们走进KTV，也来虐虐别人吧…）<br>",7509932,128324,1258,1150,"[""华语"",""流行"",""经典""]",30069,9,57,21,"是","是","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",218,"否","否","是","否","是","否","否","否","否","是","否","否","否","否","否","否","否","是","是","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否",110,43,"是","否","否","否","是","否","否",3
"82","『华语民谣』孤独的心诠释诗意和远方","朩朩青尘",1479600000,"<b>介绍：</b>民谣，一听就是一个故事。<br><br>民谣，唱的人普通，听的人平凡。<br><br>民谣，喜欢那种感同身受，热爱那些温柔辞藻。<br><br>用歌曲说话，用歌曲讲故事，因为被赋予旋律，所以才更易打动人心。<br><br>有时民谣像是唱着长达一生的曾经，却又像只是讲了某天放学后暗恋少年阳光下灿烂的笑脸。<br><br>好似简单的一首诗，却告诉我人生的道理。<br><br>有故事的人一张嘴，便会引起很多人的共鸣。<br>",6419189,108453,3990,466,"[""华语"",""民谣"",""孤独""]",62239,10,63,17,"否","是","是","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否",221,"否","否","是","是","否","否","否","否","否","否","否","是","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",163,22,"是","否","否","否","是","否","否",3
"83","『华语民谣』止于唇齿，掩于岁月","朩朩青尘",1483228800,"<b>介绍：</b>冬，渐渐深了，日子，也渐渐变得厚重，总有一些磕磕碰碰，吵吵嚷嚷，在平淡的生活中调剂着枯燥无味。时光辗转轮回，从最初，走到最终，这日子，经过岁月的洗礼，越发让人爱不释手，像一位老者，花白的胡须，苍白的发髻，脸上深深浅浅的皱纹是岁月留下的痕迹。一直爱着这样的日子，闲暇时光，独坐一角，读书，写字，听曲，在这个纷繁的尘世，难得有这一份偷得半日闲的舒适惬意。<br><br>时光不老，岁月如初，如若说这岁月是一幅高雅的水墨丹青，那落入我们眸子中的花红柳绿，巍峨高山，必是画者恰到好处的一笔，不轻不重，不俗不庸；如若说这岁月是一首感人肺腑的诗，字里行间沁透着作者满满的情愫，爱的真挚，爱的热切，平仄有声，雅韵别致；如若说这岁月是一首悦耳动听的曲，悠扬缠绵，曲艺婉转，那这流淌在心间的曲必是歌者对生活的歌颂，对平凡之中不平凡的赞美。<br><br>2017年的第一天，把这期民谣歌单整理完成，送给朋友们，祝愿在新的一年里健康幸福、万事顺心。在旋律里沉醉，在故事里动心， 每个人都有属于自己的故事，你的故事讲到了哪？有些话止于唇齿、有些故事掩于岁月，民谣之声，唱尽人生百态！<br><br>2017.1.1<br>",5098035,61968,1049,443,"[""华语"",""民谣"",""感动""]",62239,10,63,15,"否","是","是","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否",510,"是","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",100,11,"是","否","否","否","是","否","否",3
"84","『华语女声』沉浸在海水里，最明亮的星","星星挂满半边天",1484697600,"<b>介绍：</b>耐得住寂寞，才守得住繁华。<br>耐得住寒冬，才等得到花开。<br><br>整理这份歌单的时候，我是带着怀旧的心情去整理的。这是一个有关岁月，怀旧和具有纪念意义的歌单，没有期待中的那些跌宕起伏，淡淡的从头到尾却值得回味。<br><br>本歌单收录56位女歌手，她们声线各不相同却都有自己的独特味道。<br><br>如果还有什么，建议请去评论区留言。<br>",2610204,26537,219,187,"[""华语"",""流行"",""放松""]",8773,7,16,18,"否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否",188,"是","否","否","否","否","否","是","否","否","否","否","否","是","否","否","否","否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",56,17,"是","否","否","否","是","否","否",3
"85","『极致享受』开口惊艳，入耳迷醉","萌德不萌",1476489600,"<b>介绍：</b>真正的好歌曲似乎就有这样的一种魔力，从开口就俘获你的双耳，循序渐进的引领听者进入属于歌曲的独有而美妙的世界，在这里，没有烦恼，没有忧虑，你所感受到的只有层层音浪带来的冲击与享受。<br>精选开口沦陷的欧美歌曲，无需等待，开口即刻享受音乐之美。<br>",2201575,42629,392,198,"[""欧美"",""流行""]",113415,8,39,15,"否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",135,"否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",25,1,"是","是","否","否","是","是","否",3
"86","『节奏冲击 | 击穿』有种旋律，可突破天际","柠檬味海风Sound",1467244800,"<b>介绍：</b>节奏冲击，小心击穿耳膜，鼓点强劲，着实想跟着节奏点头，疯狂点头！震撼到身体每个细胞！<br><br>听此歌单前，请佩戴耳机，放下手中的东西，不然，很有可能会扔出去，哈哈~<br><br>封面取自：<br><br>我是不会告诉你们，她的名字叫Chloe Norgaard的，你们谁也别想认识她，哼~<br><br>歌单部分歌曲推荐：<br><br>1.《I'll Wait for You》Iris（前奏足够劲爆，轰头）<br><br>2.《So Fresh》Death Team（有种东方不败的视觉感怎么回事啊）<br><br>3.《tyDOceans(NLVi Remix)》tyDi / JACK NOVAK / Greyson Chance（我儿作品，蜜汁着迷嗓音）<br><br>4.《Are You My Girl》Dan Godlin（声线很清脆，他的歌有兴趣的可以去尝试听下，都很棒）<br><br>5.《Hell Nos And Headphones》Hailee Steinfeld（好演员，好歌手，声线棒到不行，极具穿透力和力度，非常喜欢的女歌手）<br><br>BY：柠檬味海风Sound<br><br>编辑推荐 : 鼓点强劲，节奏冲击，震撼人心<br>",1462115,23700,262,123,"[""欧美"",""流行"",""R&amp;B/Soul""]",20969,9,44,21,"否","否","是","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否",548,"是","否","是","是","是","否","是","否","否","否","否","否","否","是","否","否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",49,0,"是","否","否","否","是","否","否",3
"87","『精品原创』新鲜出炉古风新曲推荐","漓辞",1476662400,"<b>介绍：</b>1、【排骨教主】＂明月本无心＂天涯明月刀OL明月心＆公子羽CP同人歌<br><br>歌曲收录于排骨教主专辑《非月》自己男女对唱啊<br>我要被美哭了，男声好苏～<br><br>2、魔道祖师 原创群像同人剧情歌《同道殊途》豪华人声版（b站可看视频）<br><br>总参与人员50个，历时4个月完成 …太不容易了～<br>我要表白策划＂括号君＂表白所有的参与人员，真的太棒啦，辛苦全员…<br><br>歌单放的都是近期的原创古风歌曲 //加入新歌《问剑江湖》《轩辕剑赋》<br><br>封面：晓星尘＆宋岚 画师新浪微博ID千二百<br>",1843635,52962,485,492,"[""古风"",""华语"",""民族""]",24982,8,23,16,"否","否","是","否","否","否","是","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",276,"是","否","是","否","是","是","否","否","否","否","否","否","是","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","是","否","否","否",39,0,"是","否","否","否","是","否","否",3
"88","『灵动古风』静水深流，沧笙踏歌","漓辞",1482624000,"<b>介绍：</b>最是那不经意间的灵动悠扬，沁入了我的身心，感知到你那悠扬自得的心境。<br><br>你若爱琴棋书画诗酒花<br><br>我愿收拾行囊<br><br>同你仗剑天涯<br><br>你若爱柴米油盐酱醋茶<br><br>我亦可敛起光华<br><br>同你庭前赏花，共话桑麻换<br><br>封面图画师：伊吹五月<br>",2869437,82204,717,433,"[""古风"",""清新"",""治愈""]",24982,8,23,15,"否","否","是","否","否","是","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",165,"否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否",38,0,"是","否","否","否","是","否","否",3
"89","『民谣小集』放任时光缓缓流淌","朩朩青尘",1492041600,"<b>介绍：</b>人生就像一场旅行，在乎的不是目的地和沿途的风景，而是看风景时的心情。<br><br>然而，不同的行程决定不同的经历，不同的风景决定不同的心情，喜怒哀乐，贯穿了生命的旅程。<br><br>旅途本是一场邂逅，我们邂逅彼此，像是命运注定的安排，又充满着未知与惊喜。<br><br>匆匆相遇、匆匆别离，很少有人能够伴你走过人生的每一个驿站，却总有人在特定的时间出现、有人在特定的时间离开。<br><br>就像是冥冥中注定的安排，没有预演，却井然有序，仿佛一切都是注定的模样。<br><br>或偶然，或必然，无需忧伤、无需感慨，因为我们只是旅途中匆忙的赶路人。<br><br>淡然待之，一切又会是云淡风轻的模样，亦会收获一种豁然开朗的胸怀。<br>",981223,11311,631,50,"[""华语"",""民谣"",""流行""]",62239,10,63,14,"否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否",329,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",50,7,"是","否","否","否","是","否","否",3
"90","『欧美』佳片有约 , 细品译名之美","蝶影丛虫",1494633600,"<b>介绍：</b><br>封面:飘(乱世佳人)Gone with the Wind<br><br>电影片名是电影的眼睛，翻译片名要在几个字内凝练出主题且要有意境，不仅要求译者对电影的表达理解透彻，而且具备较高的审美能力、文化修养和艺术技巧<br><br>歌单这次就盘点一部分片名译得贴切有韵味，内容好看，音乐好听的电影<br><br>影单把中英文片名一起列出，听着音乐时不妨对比下，自有一番乐趣<br><br>1这个杀手不太冷Leon<br>2魂断蓝桥 Waterloo Bridge<br>3雨中曲 Singin' in the Rain<br>4飘(乱世佳人)Gone with the Wind<br>5一夜风流 It Happened One Night<br>6随我婆娑 Shall We Dance<br>7郎心似铁 A Place in the Sun<br>8画舫璇宫 Show Boat<br>9生活多美好 It's a Wonderful Life?<br>10绿野仙踪 The Wizard of Oz<br>11音乐之声 (仙乐飘飘处处闻)The Sound of Music<br>12醉乡情断 The Days of Wine and Roses<br>13关山飞渡 Stagecoach<br>14侠骨柔情 My Darling Clementine<br>15赤胆屠龙 Rio Bravo<br>16碧血金沙 The Treasure of the Sierra Madre<br>17日落黄沙 The Wild Bunch<br>18大江东去 River of No Return<br>19虎豹小霸王 Butch Cassidy and the Sundance Kid<br>20燃情岁月 Legends of the Fall<br>21大地惊雷 True Grit<br>22不羁的天空My Own Private Idaho<br>23我心狂野 Wild at Heart<br>24逍遥骑士 Easy Rider<br>25一树梨花压海棠(洛丽塔)Lolita<br>26星尘往事 Stardust Memories<br>27闻香识女人 Scent of a Woman<br>28情枭的黎明 Carlito's Way<br>29天堂电影院Cinema Paradiso<br>30海上钢琴师The Legend of 1900<br>31西西里的美丽传说 Malena<br>32肖申克的救赎(港.月黑高飞) The Shawshank Redemption<br>33美丽心灵 A Beautiful Mind<br>",1478311,27121,223,253,"[""欧美"",""影视原声"",""经典""]",12019,8,51,17,"否","否","否","否","否","是","否","是","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否",1137,"是","是","否","否","是","否","否","否","否","否","否","否","否","否","是","否","是","否","否","否","否","否","否","否","是","否","否","否","否","否","否","是","否","否","否","否",105,3,"是","否","否","否","是","否","否",3
"91","『欧美』节奏控福利，抖腿族必备","朗格里戈郎",1483920000,"<b>介绍：</b>节奏控的最爱<br>抖腿族必备 <br>精心挑选的100首带感性强的英文歌 <br>闭上眼睛让我们一起来感受音乐带给我们的听觉享受 无需多言，入耳便是爱....<br>",10952503,197162,2268,1092,"[""欧美"",""电子"",""流行""]",14011,8,20,15,"否","否","是","否","否","是","是","是","否","否","否","否","否","否","是","否","是","否","否","否","否","否","否",94,"否","是","否","否","否","否","否","否","否","否","否","否","否","是","否","否","是","是","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",100,23,"是","否","否","否","是","否","否",3
"92","『欧美』无法被拒绝忧伤旋律","凯里欧文你是神",1483488000,"<b>介绍：</b>也许你一个人下班孤独的走；<br>一个人乘地铁世界繁华；<br>一个人吃饭毫无温暖；<br>一个人睡觉抱着一只熊；<br>一个人发呆脑海里都是泪；<br>然而你却能一个人下班，一个人乘地铁，一个人吃饭，一个人睡觉，一个人发呆<br>很多人离开另外一个人，就没有自己<br>而你却一个人，度过了所有<br>你的孤独，虽败犹荣<br>一个人又如何？<br>不爱孤单<br>一个人也习惯<br>不用担心谁，也不用被谁管<br>",780673,10322,165,228,"[""欧美"",""流行"",""伤感""]",5118,7,15,13,"否","否","否","否","否","是","否","是","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否",220,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",49,9,"是","否","否","否","是","否","否",3
"93","『日系』颤动心灵的V家电音~☆『持续更新~』","一只枣糕",1427587200,"<b>介绍：</b>主要收录比较好听的V家歌曲，挺喜欢合成音的。。。。【=▽=这次的介绍好正常我好不习惯....】<br>",393060,29519,84,121,"[""日语"",""电子"",""放松""]",12274,8,87,22,"是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",61,"否","否","是","是","否","否","否","否","否","否","否","否","是","否","是","否","否","否","否","是","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",78,24,"是","否","否","否","是","否","否",3
